End Date,End Time,PM10,Status/units,Period
02/07/2018,13:00:00,18.4,R ugm-3 (VCM),02/07/2018 13:00
02/07/2018,14:00:00,23.6,R ugm-3 (VCM),02/07/2018 14:00
02/07/2018,15:00:00,26,R ugm-3 (VCM),02/07/2018 15:00
02/07/2018,16:00:00,26.3,R ugm-3 (VCM),02/07/2018 16:00
02/07/2018,17:00:00,29.2,R ugm-3 (VCM),02/07/2018 17:00
02/07/2018,18:00:00,23.8,R ugm-3 (VCM),02/07/2018 18:00
02/07/2018,19:00:00,22.8,R ugm-3 (VCM),02/07/2018 19:00
02/07/2018,20:00:00,15.1,R ugm-3 (VCM),02/07/2018 20:00
02/07/2018,21:00:00,20,R ugm-3 (VCM),02/07/2018 21:00
02/07/2018,22:00:00,24.6,R ugm-3 (VCM),02/07/2018 22:00
02/07/2018,23:00:00,18.7,R ugm-3 (VCM),02/07/2018 23:00
02/07/2018,24:00:00,15.2,R ugm-3 (VCM),03/07/2018 00:00
03/07/2018,01:00:00,16.7,R ugm-3 (VCM),03/07/2018 01:00
03/07/2018,02:00:00,17.6,R ugm-3 (VCM),03/07/2018 02:00
03/07/2018,03:00:00,21.4,R ugm-3 (VCM),03/07/2018 03:00
03/07/2018,04:00:00,16.3,R ugm-3 (VCM),03/07/2018 04:00
03/07/2018,05:00:00,16.8,R ugm-3 (VCM),03/07/2018 05:00
03/07/2018,06:00:00,22.5,R ugm-3 (VCM),03/07/2018 06:00
03/07/2018,07:00:00,22.7,R ugm-3 (VCM),03/07/2018 07:00
03/07/2018,08:00:00,24,R ugm-3 (VCM),03/07/2018 08:00
03/07/2018,09:00:00,26.3,R ugm-3 (VCM),03/07/2018 09:00
03/07/2018,10:00:00,25.6,R ugm-3 (VCM),03/07/2018 10:00
03/07/2018,11:00:00,25.3,R ugm-3 (VCM),03/07/2018 11:00
03/07/2018,12:00:00,23,R ugm-3 (VCM),03/07/2018 12:00
03/07/2018,13:00:00,23.2,R ugm-3 (VCM),03/07/2018 13:00
03/07/2018,14:00:00,26.1,R ugm-3 (VCM),03/07/2018 14:00
03/07/2018,15:00:00,24.4,R ugm-3 (VCM),03/07/2018 15:00
03/07/2018,16:00:00,23.3,R ugm-3 (VCM),03/07/2018 16:00
03/07/2018,17:00:00,26.5,R ugm-3 (VCM),03/07/2018 17:00
03/07/2018,18:00:00,29.2,R ugm-3 (VCM),03/07/2018 18:00
03/07/2018,19:00:00,25.3,R ugm-3 (VCM),03/07/2018 19:00
03/07/2018,20:00:00,25.2,R ugm-3 (VCM),03/07/2018 20:00
03/07/2018,21:00:00,20.1,R ugm-3 (VCM),03/07/2018 21:00
03/07/2018,22:00:00,17.6,R ugm-3 (VCM),03/07/2018 22:00
03/07/2018,23:00:00,17.5,R ugm-3 (VCM),03/07/2018 23:00
03/07/2018,24:00:00,16.7,R ugm-3 (VCM),04/07/2018 00:00
04/07/2018,01:00:00,18,R ugm-3 (VCM),04/07/2018 01:00
04/07/2018,02:00:00,32.2,R ugm-3 (VCM),04/07/2018 02:00
04/07/2018,03:00:00,16.4,R ugm-3 (VCM),04/07/2018 03:00
04/07/2018,04:00:00,15.6,R ugm-3 (VCM),04/07/2018 04:00
04/07/2018,05:00:00,21.4,R ugm-3 (VCM),04/07/2018 05:00
04/07/2018,06:00:00,29.2,R ugm-3 (VCM),04/07/2018 06:00
04/07/2018,07:00:00,22.1,R ugm-3 (VCM),04/07/2018 07:00
04/07/2018,08:00:00,16.3,R ugm-3 (VCM),04/07/2018 08:00
04/07/2018,09:00:00,10.9,R ugm-3 (VCM),04/07/2018 09:00
04/07/2018,10:00:00,8.1,R ugm-3 (VCM),04/07/2018 10:00
04/07/2018,11:00:00,12.9,R ugm-3 (VCM),04/07/2018 11:00
04/07/2018,12:00:00,11.9,R ugm-3 (VCM),04/07/2018 12:00
04/07/2018,13:00:00,19.7,R ugm-3 (VCM),04/07/2018 13:00
04/07/2018,14:00:00,29.5,R ugm-3 (VCM),04/07/2018 14:00
04/07/2018,15:00:00,25.4,R ugm-3 (VCM),04/07/2018 15:00
04/07/2018,16:00:00,26,R ugm-3 (VCM),04/07/2018 16:00
04/07/2018,17:00:00,29.5,R ugm-3 (VCM),04/07/2018 17:00
04/07/2018,18:00:00,26.1,R ugm-3 (VCM),04/07/2018 18:00
04/07/2018,19:00:00,30.9,R ugm-3 (VCM),04/07/2018 19:00
04/07/2018,20:00:00,39.9,R ugm-3 (VCM),04/07/2018 20:00
04/07/2018,21:00:00,24.6,R ugm-3 (VCM),04/07/2018 21:00
04/07/2018,22:00:00,33.3,R ugm-3 (VCM),04/07/2018 22:00
04/07/2018,23:00:00,23.1,R ugm-3 (VCM),04/07/2018 23:00
04/07/2018,24:00:00,24.1,R ugm-3 (VCM),05/07/2018 00:00
05/07/2018,01:00:00,25.2,R ugm-3 (VCM),05/07/2018 01:00
05/07/2018,02:00:00,25,R ugm-3 (VCM),05/07/2018 02:00
05/07/2018,03:00:00,29.7,R ugm-3 (VCM),05/07/2018 03:00
05/07/2018,04:00:00,46.2,R ugm-3 (VCM),05/07/2018 04:00
05/07/2018,05:00:00,47.5,R ugm-3 (VCM),05/07/2018 05:00
05/07/2018,06:00:00,49.8,R ugm-3 (VCM),05/07/2018 06:00
05/07/2018,07:00:00,49.6,R ugm-3 (VCM),05/07/2018 07:00
05/07/2018,08:00:00,31.9,R ugm-3 (VCM),05/07/2018 08:00
05/07/2018,09:00:00,27,R ugm-3 (VCM),05/07/2018 09:00
05/07/2018,10:00:00,29.2,R ugm-3 (VCM),05/07/2018 10:00
05/07/2018,11:00:00,32.8,R ugm-3 (VCM),05/07/2018 11:00
05/07/2018,12:00:00,31.7,R ugm-3 (VCM),05/07/2018 12:00
05/07/2018,13:00:00,39.4,R ugm-3 (VCM),05/07/2018 13:00
05/07/2018,14:00:00,41.8,R ugm-3 (VCM),05/07/2018 14:00
05/07/2018,15:00:00,43.7,R ugm-3 (VCM),05/07/2018 15:00
05/07/2018,16:00:00,36.2,R ugm-3 (VCM),05/07/2018 16:00
05/07/2018,17:00:00,41.8,R ugm-3 (VCM),05/07/2018 17:00
05/07/2018,18:00:00,50.6,R ugm-3 (VCM),05/07/2018 18:00
05/07/2018,19:00:00,42.6,R ugm-3 (VCM),05/07/2018 19:00
05/07/2018,20:00:00,30.5,R ugm-3 (VCM),05/07/2018 20:00
05/07/2018,21:00:00,18.9,R ugm-3 (VCM),05/07/2018 21:00
05/07/2018,22:00:00,12,R ugm-3 (VCM),05/07/2018 22:00
05/07/2018,23:00:00,12.2,R ugm-3 (VCM),05/07/2018 23:00
05/07/2018,24:00:00,11.7,R ugm-3 (VCM),06/07/2018 00:00
06/07/2018,01:00:00,14.6,R ugm-3 (VCM),06/07/2018 01:00
06/07/2018,02:00:00,29.7,R ugm-3 (VCM),06/07/2018 02:00
06/07/2018,03:00:00,47.8,R ugm-3 (VCM),06/07/2018 03:00
06/07/2018,04:00:00,31.5,R ugm-3 (VCM),06/07/2018 04:00
06/07/2018,05:00:00,33,R ugm-3 (VCM),06/07/2018 05:00
06/07/2018,06:00:00,51.1,R ugm-3 (VCM),06/07/2018 06:00
06/07/2018,07:00:00,30.1,R ugm-3 (VCM),06/07/2018 07:00
06/07/2018,08:00:00,14.3,R ugm-3 (VCM),06/07/2018 08:00
06/07/2018,09:00:00,14.1,R ugm-3 (VCM),06/07/2018 09:00
06/07/2018,10:00:00,16.9,R ugm-3 (VCM),06/07/2018 10:00
06/07/2018,11:00:00,34.3,R ugm-3 (VCM),06/07/2018 11:00
06/07/2018,12:00:00,24.4,R ugm-3 (VCM),06/07/2018 12:00
